Altium Designer Pick and Place Locations
C:\Users\Ryan\Google Drive (rvtran@ucsd.edu)\ECE 191\go-kart-real-time-controller\PCB\ertc_breakout_pcb\Project Outputs for ertc_breakout_pcb\Pick Place for ertc_breakout_pcb.txt

========================================================================================================================
File Design Information:

Date:       07/11/21
Time:       21:07
Revision:   aecbde97ecbdd2d11ec1ed1fca184c3125581f42
Variant:    No variations
Units used: mm

Designator Comment          Layer    Footprint              Center-X(mm) Center-Y(mm) Rotation Description                                                                 
R10        "1.2 kOhms"      TopLayer RES_0603_1608          24.1300      197.3580     90       "CRGCQ 0603 1K2 1%"                                                         
D1         Green            TopLayer LED_0805_2012_GREEN    24.1300      202.1840     90       "LED GREEN CLEAR SMD"                                                       
R9         =Value           TopLayer RES_0603_1608          131.4600     167.6400     0        "RES SMD 0 OHM JUMP 1/10W 0603"                                             
J36        0039301049       TopLayer MOLEX_0039301049       130.3900     97.7900      90       "Connector Header Through Hole 4 position 0.165 _4.20mm_"                   
J30        0039301049       TopLayer MOLEX_0039301049       130.3900     74.9300      90       "Connector Header Through Hole 4 position 0.165 _4.20mm_"                   
J22        39-30-1039       TopLayer MOLEX_39-30-1039       149.8600     37.6800      180      "Connector Header Through Hole 3 position 0.165 _4.20mm_"                   
J17        39-30-1039       TopLayer MOLEX_39-30-1039       149.8600     87.2100      180      "Connector Header Through Hole 3 position 0.165 _4.20mm_"                   
J13        39-30-1039       TopLayer MOLEX_39-30-1039       149.8600     120.2300     180      "Connector Header Through Hole 3 position 0.165 _4.20mm_"                   
J9         39-30-1039       TopLayer MOLEX_39-30-1039       149.8600     136.7400     180      "Connector Header Through Hole 3 position 0.165 _4.20mm_"                   
C4         0.1µF            TopLayer CAP_0603_1608          91.4400      18.4150      270      "CAP CER 0.1UF 25V X7R 0603"                                                
C2         0.1µF            TopLayer CAP_0603_1608          45.7200      18.4150      270      "CAP CER 0.1UF 25V X7R 0603"                                                
U3         MAX3232IDR       TopLayer SOIC127P600X175-16N    62.2300      192.4050     90       "3-V to 5.5-V multichannel RS-232 line driver & receiver 16-SOIC -40 to 85" 
